POS,VAL,%,ACT-VAL,CH,FREQNum,FREQValue,FRAME
1023,13.044050046260928,25.83447350835829,24,A,44,1894.921875,44
26,16.72633204121543,29.727122397817208,28,A,45,1937.98828125,45
31,16.555915341314872,34.20042024081753,33,A,45,1937.98828125,45
36,16.325447054018937,37.05310614646003,36,A,45,1937.98828125,45
29,12.119244157220464,23.00660588263742,22,A,46,1981.0546875,46
550,11.402872165394896,21.646678822213318,20,A,46,1981.0546875,46
840,12.802450957033031,24.303573694797635,23,A,46,1981.0546875,46
27,13.510873336616491,34.52254566794257,33,A,47,2024.12109375,47
32,9.991141056808246,24.80870176594119,23,A,48,2067.1875,48
37,9.793928145440688,24.319008319047377,23,A,48,2067.1875,48
65,8.387935130288241,20.827829363652217,19,A,48,2067.1875,48
27,52.94591669862109,135.43306534968147,134,A,49,2110.25390625,49
32,48.31475475913369,123.58677961690674,122,A,49,2110.25390625,49
27,47.961909446506624,80.42590524835387,79,A,50,2153.3203125,50
32,20.8243604896738,64.39822455195083,63,A,51,2196.38671875,51
37,20.799209115747708,64.26667542958137,63,A,51,2196.38671875,51
14,15.262159096351624,36.01576874584288,35,A,52,2239.453125,52
37,14.30353168412848,33.753591882524255,32,A,52,2239.453125,52
42,16.762330205630604,39.55588488602268,38,A,52,2239.453125,52
47,16.809880105250528,39.66809353080142,38,A,52,2239.453125,52
37,46.82269075733707,81.92263384832901,80,A,53,2282.51953125,53
42,22.531574491068653,50.696410863003614,49,A,54,2325.5859375,54
31,12.76394001860146,53.20089574443867,52,A,55,2368.65234375,55
1455,12.307595493272515,34.73488086035415,33,A,55,2368.65234375,55
27,11.996068262714452,31.47514122240544,30,A,56,2411.71875,56
42,12.08013081419736,31.695703545117794,30,A,56,2411.71875,56
489,11.0236044898584,28.923602341999683,27,A,56,2411.71875,56
639,12.327325929411387,32.34429114819381,31,A,56,2411.71875,56
27,39.74768156283222,87.99326582624562,86,A,57,2454.78515625,57
47,12.086599020964641,30.00184743997003,29,A,58,2497.8515625,58
4,10.448403720233316,26.643029348799807,25,A,59,2540.91796875,59
24,12.812043581738678,32.670220476390945,31,A,59,2540.91796875,59
779,10.969606000663134,27.972075203647666,26,A,59,2540.91796875,59
27,18.984515192906912,45.52549572591449,44,A,60,2583.984375,60
37,20.586638644668177,49.3674407855806,48,A,60,2583.984375,60
42,21.586534014245544,51.76522297340617,50,A,60,2583.984375,60
32,8.558701560210434,28.20969044030759,27,A,61,2627.05078125,61
37,10.277130719481864,33.87367513303395,32,A,61,2627.05078125,61
1295,10.547333981484652,34.561712800755515,33,A,62,2670.1171875,62
27,22.86524675075212,55.264866277401545,54,A,63,2713.18359375,63
42,27.706929756696212,66.9671219669128,65,A,63,2713.18359375,63
32,15.393209555369936,36.274071472075285,35,A,64,2756.25,64
42,16.032478166328055,37.7805068389387,36,A,64,2756.25,64
27,15.704747511059143,50.74618583616663,49,A,65,2799.31640625,65
4,5.062381749297792,18.9538386452552,17,A,66,2842.3828125,66
14,6.18206133559983,23.14598125008714,22,A,66,2842.3828125,66
512,5.794538244131356,21.69507325642926,20,A,66,2842.3828125,66
1338,5.441609331236098,20.37368779015344,19,A,66,2842.3828125,66
1422,5.938900715816569,22.235574374333158,21,A,66,2842.3828125,66
4,16.786638122761683,54.072640324414564,53,A,67,2885.44921875,67
24,19.83574873480565,63.89434853237614,62,A,67,2885.44921875,67
25,9.831490866948904,27.66318973890248,26,A,68,2928.515625,68
31,11.204546208784699,31.5266007878724,30,A,68,2928.515625,68
70,11.083885976810258,31.187095118160595,30,A,68,2928.515625,68
779,9.26950353312563,26.08190746373135,25,A,68,2928.515625,68
929,9.445147617533394,26.57612301041127,25,A,68,2928.515625,68
42,14.96665753959661,56.29392160997914,55,A,69,2971.58203125,69
24,11.894340622998826,46.64263065996594,45,A,70,3014.6484375,70
37,14.012445640425959,54.94859676252122,53,A,70,3014.6484375,70
24,28.899088671639035,61.475497213908284,60,A,71,3057.71484375,71
37,25.233936430789967,53.678813417716874,52,A,71,3057.71484375,71
23,4.782472274636909,34.909506388119404,33,A,72,3100.78125,72
37,5.747593682423279,17.263899504974805,16,A,72,3100.78125,72
46,5.594096931941792,16.80284525843744,15,A,72,3100.78125,72
812,5.426832601595464,16.30043768590903,15,A,72,3100.78125,72
1056,5.381495687006748,16.164260360132022,15,A,72,3100.78125,72
1116,5.703770985418721,17.132270395659503,16,A,72,3100.78125,72
19,10.330160681964102,30.804267969006894,29,A,73,3143.84765625,73
37,17.333229971824462,61.898382829598695,60,A,74,3186.9140625,74
37,19.932726975854955,62.055723861967536,61,A,75,3229.98046875,75
42,9.947588911383658,38.786949315436345,37,A,76,3273.046875,76
1455,8.257289001352067,32.19624904401121,31,A,76,3273.046875,76
27,9.29030475243287,38.82060691017623,37,A,77,3316.11328125,77
42,8.137571372153989,34.00377790181389,33,A,77,3316.11328125,77
37,15.776498009331444,53.448909439705474,52,A,78,3359.1796875,78
38,11.644216833581716,40.44467513670293,39,A,79,3402.24609375,79
9,12.705640745949044,46.122137742122426,45,A,80,3445.3125,80
27,16.819080769710904,70.63965808332068,69,A,81,3488.37890625,81
42,18.059676869414343,74.80575126159772,73,A,82,3531.4453125,82
9,7.106284918393317,29.773256344046683,28,A,83,3574.51171875,83
42,6.288671791476801,26.347696364747854,25,A,83,3574.51171875,83
601,5.898600423487835,24.713411367034276,23,A,83,3574.51171875,83
27,17.656655953859044,69.7588468251128,68,A,84,3617.578125,84
27,15.266157680805655,66.20432281779604,65,A,85,3660.64453125,85
32,12.927355057661558,56.17459918484159,55,A,86,3703.7109375,86
27,9.992277612987483,44.06122312854093,43,A,87,3746.77734375,87
24,6.330606651117691,23.664636219995444,22,A,88,3789.84375,88
26,6.798021125874378,34.2363077864749,33,A,88,3789.84375,88
27,12.96923897795979,57.41648627674812,56,A,89,3832.91015625,89
32,11.110903158641356,49.189394984127695,48,A,89,3832.91015625,89
24,7.200212041663416,34.019465933556134,33,A,90,3875.9765625,90
390,5.909305671850781,27.920208714860955,26,A,90,3875.9765625,90
517,6.947246769121939,32.82425898384395,31,A,90,3875.9765625,90
901,6.427324002124077,30.36773482071975,29,A,90,3875.9765625,90
27,6.772633450076665,30.247272135186677,29,A,91,3919.04296875,91
103,8.287783951497179,37.01408889561716,36,A,91,3919.04296875,91
22,9.276975721371109,39.01109401058419,38,A,92,3962.109375,92
42,8.27044032929355,34.778459584813106,33,A,92,3962.109375,92
680,8.061517646913721,33.89990792659465,32,A,92,3962.109375,92
32,8.609216892091112,40.91436781352263,39,A,93,4005.17578125,93
37,9.622538653081268,45.730069376423735,44,A,93,4005.17578125,93
27,5.954250133236421,27.530026983619067,26,A,94,4048.2421875,94
929,6.741580084577549,31.17031993746097,30,A,94,4048.2421875,94
24,6.3785866004672975,30.189894518382452,29,A,95,4091.30859375,95
27,6.384297356101776,30.21692356431757,29,A,95,4091.30859375,95
37,6.791222400720752,32.14290261632809,31,A,95,4091.30859375,95
502,5.759984614333117,27.262047037424114,26,A,95,4091.30859375,95
32,5.442786720348078,26.813781248438346,25,A,96,4134.375,96
638,5.660366983936967,27.88568611842688,26,A,96,4134.375,96
1361,6.707112813528916,33.04245876808137,32,A,96,4134.375,96
357,6.828396701584033,29.513362977028724,28,A,97,4177.44140625,97
545,6.3441037803781235,27.42017574796221,26,A,97,4177.44140625,97
1112,7.068622843719329,30.551656684798452,29,A,97,4177.44140625,97
779,6.377245993150673,29.188959541755487,28,A,98,4220.5078125,98
868,6.092457560567045,27.88546928192052,26,A,98,4220.5078125,98
873,5.128172973501581,23.471892664549596,22,A,98,4220.5078125,98
1455,5.242626645008464,23.99575258631016,22,A,98,4220.5078125,98
42,9.278129187171842,43.259021445767125,42,A,99,4263.57421875,99
578,7.456544858231773,34.76593475110864,33,A,99,4263.57421875,99
1455,9.11157120433813,42.48244944444931,41,A,99,4263.57421875,99
919,11.651185643225286,54.94746402553107,53,A,100,4306.640625,100
42,7.071183264096408,36.96023231542301,35,A,101,4349.70703125,101
352,6.392375170635365,33.41218329804042,32,A,101,4349.70703125,101
1229,6.90317940137826,36.08209614442608,35,A,101,4349.70703125,101
42,9.411522660508329,46.47268235963153,45,A,102,4392.7734375,102
873,9.963642673948826,49.198967885849434,48,A,102,4392.7734375,102
27,12.150437416915068,58.2685693039499,57,A,103,4435.83984375,103
42,5.196447118252173,26.516586555169606,25,A,104,4478.90625,104
235,5.993826126055719,30.58547612462792,29,A,104,4478.90625,104
37,12.113190837890667,62.486676598031195,61,A,105,4521.97265625,105
362,7.725224825543592,41.563149778741014,40,A,106,4565.0390625,106
840,7.829724071175178,42.12537520208272,41,A,106,4565.0390625,106
27,4.983180498990603,27.57602970744052,26,A,107,4608.10546875,107
42,5.824073212143553,32.22937959981811,31,A,107,4608.10546875,107
113,4.983282292879139,27.57659301661523,26,A,107,4608.10546875,107
263,5.015980221467974,27.75753750584658,26,A,107,4608.10546875,107
9,9.706726714945834,54.40434098447531,53,A,108,4651.171875,108
990,5.051366598165718,27.035295975885,26,A,109,4694.23828125,109
1196,6.070666034033888,32.490663627632,31,A,109,4694.23828125,109
296,5.321028530458317,25.31241099221032,24,A,110,4737.3046875,110
347,5.213641594138323,24.801565720141866,23,A,110,4737.3046875,110
695,6.099615634640763,29.016190564428374,28,A,110,4737.3046875,110
37,15.12141634440566,80.37122529124979,79,A,111,4780.37109375,111
1206,8.978623288999717,48.86629439398695,47,A,112,4823.4375,112
14,6.600195382547511,36.07390402899473,35,A,113,4866.50390625,113
990,6.714870278262254,36.70066898711813,35,A,113,4866.50390625,113
329,6.838581126106536,36.52218184203242,35,A,114,4909.5703125,114
362,6.757100837687393,36.08702755266897,35,A,114,4909.5703125,114
601,5.971285987680762,31.890298389575538,30,A,114,4909.5703125,114
27,7.599757884759708,43.45252469060503,42,A,115,4952.63671875,115
4,9.39845233481618,52.81220104423304,51,A,116,4995.703125,116
422,3.980344926588174,20.84250286050314,19,A,117,5038.76953125,117
723,3.599125530569875,18.84630240588541,17,A,117,5038.76953125,117
751,3.681993381721572,19.280227971766823,18,A,117,5038.76953125,117
779,3.8914127430890417,20.376822291819288,19,A,117,5038.76953125,117
840,3.755202961509827,19.66357939087634,18,A,117,5038.76953125,117
37,10.699864643316815,60.97851795029406,59,A,118,5081.8359375,118
42,8.198002282654965,46.25684038643413,45,A,119,5124.90234375,119
75,7.951183138928403,44.86417503431149,43,A,119,5124.90234375,119
873,7.4561801219409105,42.07114390817493,41,A,119,5124.90234375,119
32,8.697424041397099,49.60649696084382,48,A,120,5167.96875,120
42,9.577934724850476,58.001873906865264,57,A,121,5211.03515625,121
136,6.362156955220463,36.802091021104594,35,A,122,5254.1015625,122
1686,7.393835318296684,42.76986598951066,41,A,122,5254.1015625,122
42,6.475834520393555,37.73666459443399,36,A,123,5297.16796875,123
413,7.391635564699435,43.0733168413946,42,A,123,5297.16796875,123
27,7.780810302845943,34.93529647023967,33,A,124,5340.234375,124
32,7.271995182071571,32.65075200752583,31,A,124,5340.234375,124
31,8.751404758080689,49.925486028911486,48,A,125,5383.30078125,125
37,8.362028240147879,47.70414986135613,46,A,125,5383.30078125,125
42,9.27642344313523,52.92064094977206,51,A,125,5383.30078125,125
9,6.338042241691877,39.01610559507401,38,A,126,5426.3671875,126
32,5.247334822552531,32.30186258190159,31,A,126,5426.3671875,126
42,6.211715801093796,38.2384576151658,37,A,126,5426.3671875,126
24,5.510761406378055,39.55555699360352,38,A,127,5469.43359375,127
919,6.419309682104405,29.97503416437968,28,A,127,5469.43359375,127
939,5.398737668565822,25.2094623991926,24,A,127,5469.43359375,127
42,7.442139088810929,44.49720760322396,43,A,128,5512.5,128
37,7.471940587906641,45.95607282623336,44,A,129,5555.56640625,129
27,11.090166362170152,59.01554926933319,58,A,130,5598.6328125,130
27,7.898056671955381,42.89566511840453,41,A,131,5641.69921875,131
32,8.743472927560905,47.48726202538542,46,A,131,5641.69921875,131
511,7.259123478297791,39.42551221288186,38,A,131,5641.69921875,131
1135,7.12542133213854,38.69935352277977,37,A,131,5641.69921875,131
27,13.377472458972438,76.40204381980595,75,A,132,5684.765625,132
929,7.262534270784144,43.67858797761257,42,A,133,5727.83203125,133
530,4.379220388921588,27.296666687443782,26,A,134,5770.8984375,134
662,3.8332385259979738,23.893438805303415,22,A,134,5770.8984375,134
751,3.866706084553421,24.10204963316712,23,A,134,5770.8984375,134
774,3.5700457847301976,22.25289918982398,21,A,134,5770.8984375,134
9,5.726918272769673,34.53250822128115,33,A,135,5813.96484375,135
357,6.8172414117511195,40.422323594458845,39,A,136,5857.03125,136
362,6.3359427625420786,37.56849921464912,36,A,136,5857.03125,136
540,6.44342368345697,38.20579930467721,37,A,136,5857.03125,136
1084,6.149943385429921,36.46562980517868,35,A,136,5857.03125,136
32,8.504102875259424,49.19250199281863,48,A,137,5900.09765625,137
32,6.017791351623945,28.132979484275168,27,A,138,5943.1640625,138
42,7.278975838257942,34.02897607425091,33,A,138,5943.1640625,138
601,5.938792596796585,27.763662866436356,26,A,138,5943.1640625,138
26,8.02350844833051,75.7011104968395,74,A,139,5986.23046875,139
1135,6.176758364295491,41.653391759178064,40,A,140,6029.296875,140
1450,4.98394992934195,33.609606636876485,32,A,140,6029.296875,140
418,8.024177109812623,45.78999079513813,44,A,141,6072.36328125,141
357,3.6377685759936664,23.890370654828768,22,A,142,6115.4296875,142
929,3.5956781122107255,23.61394933780383,22,A,142,6115.4296875,142
1023,4.047111646601161,26.57865537594453,25,A,142,6115.4296875,142
1554,4.242650240259239,27.862818835556414,26,A,142,6115.4296875,142
1620,4.34032254627302,28.50426359616593,27,A,142,6115.4296875,142
24,5.72770677373836,37.449593806548634,36,A,143,6158.49609375,143
32,5.576558451598984,34.86217869170121,33,A,144,6201.5625,144
37,6.58819893290708,41.18650785228034,40,A,144,6201.5625,144
32,5.416155711234607,34.16884847668801,33,A,145,6244.62890625,145
845,4.600922001474034,29.025791558269464,28,A,145,6244.62890625,145
37,3.4445973669936443,19.91529849940435,18,A,146,6287.6953125,146
511,2.887025088081039,16.691636286822117,15,A,146,6287.6953125,146
774,2.990389148274975,17.289246368220184,16,A,146,6287.6953125,146
1206,6.017351006876339,39.09497118315417,38,A,147,6330.76171875,147
1300,6.919134175231672,44.95389264876542,43,A,147,6330.76171875,147
103,3.739506687561814,26.079203299624286,25,A,148,6373.828125,148
947,4.516583434082005,31.4985123542964,30,A,148,6373.828125,148
1619,4.468605237841764,31.163913906361994,30,A,148,6373.828125,148
42,5.137921395117369,35.89583518948229,34,A,149,6416.89453125,149
417,5.547277504140192,38.755781516659475,37,A,149,6416.89453125,149
778,5.109432311611259,35.69679760840786,34,A,149,6416.89453125,149
839,5.475955294156551,38.25749240360388,37,A,149,6416.89453125,149
817,6.300302494182189,41.286290966594464,40,A,150,6459.9609375,150
32,9.408039198100028,61.40366780991623,60,A,151,6503.02734375,151
37,6.3652392292542075,38.67271211953198,37,A,152,6546.09375,152
1206,5.066028078146243,35.81630387484639,34,A,153,6589.16015625,153
42,7.760758928472088,54.55600657312003,53,A,154,6632.2265625,154
37,5.192483364933214,34.38864797232321,33,A,155,6675.29296875,155
136,5.97746529049272,39.58740648641033,38,A,155,6675.29296875,155
1478,4.890363824243625,32.38777829202759,31,A,155,6675.29296875,155
596,5.6872491700707375,35.793895230682544,34,A,156,6718.359375,156
779,5.306715225137095,33.398925052770736,32,A,156,6718.359375,156
634,5.128723891618932,33.86549979057407,32,A,157,6761.42578125,157
37,10.756427031543033,63.533975039816205,62,A,158,6804.4921875,158
28,10.775468633213364,62.99977955056563,61,A,159,6847.55859375,159
32,5.096921656380756,32.93257119871449,31,A,160,6890.625,160
666,4.9751652939696935,32.14587084420167,31,A,160,6890.625,160
924,4.110848148711748,26.561287081011375,25,A,160,6890.625,160
1450,8.15427738348325,58.0173709700016,57,A,161,6933.69140625,161
42,4.608236587616927,33.909357206206295,32,A,162,6976.7578125,162
1328,4.394376734846274,32.335685802452055,31,A,162,6976.7578125,162
192,5.647418716112046,34.704411845081054,33,A,163,7019.82421875,163
1488,4.747866397380715,29.176499764401836,28,A,163,7019.82421875,163
98,5.889439138902706,40.790190327587,39,A,164,7062.890625,164
418,5.385747829804746,37.30162989256309,36,A,164,7062.890625,164
42,6.760683391697642,49.63699260007387,48,A,165,7105.95703125,165
38,8.55558494099104,48.47948351071474,47,A,166,7149.0234375,166
42,10.29632787449988,58.343253074512646,57,A,166,7149.0234375,166
27,5.86419967867681,40.696246456706,39,A,167,7192.08984375,167
1493,4.723151184462585,32.777622725586184,31,A,167,7192.08984375,167
1023,5.503447313388346,39.258445247625765,38,A,168,7235.15625,168
1394,6.283501684490261,44.82290695212446,43,A,168,7235.15625,168
1450,5.938038688938658,42.35857154130841,41,A,168,7235.15625,168
31,8.678993265526547,72.33345128142261,71,A,169,7278.22265625,169
1023,6.299720820655709,42.78853071173866,41,A,170,7321.2890625,170
1094,5.07735309612354,34.48604867940968,33,A,170,7321.2890625,170
18,3.5091285208670797,20.88815241888848,19,A,171,7364.35546875,171
37,4.149030095155105,24.69717837428787,23,A,171,7364.35546875,171
136,4.197562779552015,24.9860700757323,23,A,171,7364.35546875,171
460,4.1730532666964315,24.840176747176283,23,A,171,7364.35546875,171
952,4.3528320967952805,27.360229021203885,26,A,172,7407.421875,172
1206,4.803629560745874,30.193768560885843,29,A,172,7407.421875,172
1719,4.566356760688555,28.70236296432031,27,A,172,7407.421875,172
27,18.514050844182183,123.97096357511282,122,A,173,7450.48828125,173
901,6.367882425440275,45.130765359693385,44,A,174,7493.5546875,174
42,4.709168846619679,37.68486229128237,36,A,175,7536.62109375,175
267,4.60214461237311,36.828406797590105,35,A,175,7536.62109375,175
512,4.967806401115986,39.75459496428766,38,A,175,7536.62109375,175
606,4.001484325352397,32.02165619308246,31,A,175,7536.62109375,175
32,6.370219016736932,52.050646901070465,51,A,176,7579.6875,176
27,7.6396714998264805,46.1123766145202,45,A,177,7622.75390625,177
207,12.245973425448355,94.71640870546679,93,A,178,7665.8203125,178
28,8.027662806806326,61.29298445716805,60,A,179,7708.88671875,179
26,9.836223384104226,60.12656486153618,59,A,180,7751.953125,180
28,9.250255136944865,74.6620068491925,73,A,181,7795.01953125,181
19,4.437986241720724,33.481375564716615,32,A,182,7838.0859375,182
530,4.345558491027331,32.784075468453224,31,A,182,7838.0859375,182
1239,4.70831637868112,35.52081966144346,34,A,182,7838.0859375,182
1244,4.351375097393538,32.8279575292916,31,A,182,7838.0859375,182
1501,4.010393012015021,30.25549591278783,29,A,182,7838.0859375,182
80,4.706574348056879,31.655749974345515,30,A,183,7881.15234375,183
417,8.059332090448393,56.92416242618551,55,A,184,7924.21875,184
1299,8.9925586410574,63.51566891221994,62,A,184,7924.21875,184
18,11.217219553581057,63.15149137818498,62,A,185,7967.28515625,185
27,4.77152701696237,33.82510285953275,32,A,186,8010.3515625,186
601,4.2531983733699334,30.150698497526697,29,A,186,8010.3515625,186
629,3.8743686853252477,27.465194859214748,26,A,186,8010.3515625,186
1587,9.235905973298022,72.73769254999934,71,A,187,8053.41796875,187
32,7.163371903846366,45.50248823877972,44,A,188,8096.484375,188
634,7.825860980592859,49.71068820767859,48,A,188,8096.484375,188
4,5.16300226970883,38.43707784582117,37,A,189,8139.55078125,189
634,5.455359561658085,40.61359441552641,39,A,189,8139.55078125,189
685,5.860652346751436,43.630883488277746,42,A,189,8139.55078125,189
1023,5.139320626522842,38.26077477347948,37,A,189,8139.55078125,189
46,5.472309278382536,43.51825752084578,42,A,190,8182.6171875,190
840,5.981965113068682,47.57126928107087,46,A,190,8182.6171875,190
26,4.818349982846033,28.367401605308196,27,A,191,8225.68359375,191
32,5.555612071217322,32.70793515385779,31,A,191,8225.68359375,191
34,4.921977456573277,28.977494723290448,27,A,191,8225.68359375,191
840,9.517877295353141,73.08068377669866,72,A,192,8268.75,192
4,7.304315580219685,58.027526937474164,57,A,193,8311.81640625,193
540,6.3687285580026565,50.59496182746326,49,A,193,8311.81640625,193
31,7.046327212222252,43.02912382625804,42,A,194,8354.8828125,194
1193,6.028339519361772,36.81267699226468,35,A,194,8354.8828125,194
37,4.090265394192405,32.13239272474648,31,A,195,8397.94921875,195
43,4.860434536383311,38.182703635255386,37,A,195,8397.94921875,195
362,4.124490162777489,32.401256380061106,31,A,195,8397.94921875,195
684,4.621356774017864,36.30455153221882,35,A,195,8397.94921875,195
835,4.316311718332463,33.90817218188554,32,A,195,8397.94921875,195
42,5.635878134654531,45.82167643564609,44,A,196,8441.015625,196
37,6.208954178719289,47.54437773433807,46,A,197,8484.08203125,197
1294,7.517347783191543,57.56325659310464,56,A,197,8484.08203125,197
313,4.070028647309503,29.25960584785612,28,A,198,8527.1484375,198
1300,3.4928835877550313,25.11048592194,24,A,198,8527.1484375,198
1454,4.020918318043012,28.906549640660668,27,A,198,8527.1484375,198
1590,5.7181329097809215,37.037539077579304,36,A,199,8570.21484375,199
27,6.652460724207268,52.15145447534303,51,A,200,8613.28125,200
28,9.221526143323167,72.2566836360242,71,A,201,8656.34765625,201
811,5.700463368892853,44.10289447571536,43,A,202,8699.4140625,202
37,4.322239155206319,38.03517603254637,37,A,203,8742.48046875,203
27,2.8254830316468187,29.743544855352777,28,A,204,8785.546875,204
456,2.6866629389055507,23.480822956564822,22,A,204,8785.546875,204
484,2.5128379103906706,21.961631746952047,20,A,204,8785.546875,204
689,2.7311640487786217,23.869752534283226,22,A,204,8785.546875,204
817,2.9748745299101085,25.99972670307078,24,A,204,8785.546875,204
1028,2.5053537426751795,21.896221823526272,20,A,204,8785.546875,204
24,6.370005930084144,42.44288984335588,41,A,205,8828.61328125,205
29,3.439260912663295,21.76907971462955,20,A,206,8871.6796875,206
136,4.261649875153216,26.974457072002284,25,A,206,8871.6796875,206
250,3.5772086118399766,22.64223081775463,21,A,206,8871.6796875,206
1088,4.2829584156872915,27.10933120027233,26,A,206,8871.6796875,206
93,6.4834940789394135,57.3964689217512,56,A,207,8914.74609375,207
700,7.909736731072895,70.02257624310569,69,A,207,8914.74609375,207
868,5.738434513456486,47.66407874415125,46,A,208,8957.8125,208
1056,4.798725847348898,39.85875348464342,38,A,208,8957.8125,208
13,6.931883492655409,37.6501772378093,36,A,209,9000.87890625,209
28,7.351802835436818,39.93094806987187,38,A,209,9000.87890625,209
32,8.456797725055104,45.932672346553986,44,A,209,9000.87890625,209
540,6.856634663068791,56.69327307135662,55,A,210,9043.9453125,210
29,3.4545745796992406,28.470735832369165,27,A,211,9087.01171875,211
591,2.894089666268002,23.851522224389,22,A,211,9087.01171875,211
802,2.974201096951994,24.511757320646687,23,A,211,9087.01171875,211
950,3.2228793692399975,26.561229183019424,25,A,211,9087.01171875,211
32,5.7302086786543835,43.0299099353186,42,A,212,9130.078125,212
41,4.826479059224573,40.49763064381655,39,A,213,9173.14453125,213
418,4.195865253960308,35.20632726279932,34,A,213,9173.14453125,213
985,3.970082694056263,33.311849196157,32,A,213,9173.14453125,213
37,5.618955955242852,49.7008583702895,48,A,214,9216.2109375,214
873,5.4027239272601815,47.78824017511401,46,A,214,9216.2109375,214
950,5.705802744533933,50.038706488468534,49,A,215,9259.27734375,215
27,5.974638059232571,50.42100747754022,49,A,216,9302.34375,216
14,2.398802063302208,21.559226712490638,20,A,217,9345.41015625,217
32,2.1187573018122077,19.042325216125846,18,A,217,9345.41015625,217
689,2.067451819477389,18.581217339752186,17,A,217,9345.41015625,217
961,2.410547663929812,21.664790264681475,20,A,217,9345.41015625,217
1023,2.471842153650867,22.2156743164917,21,A,217,9345.41015625,217
1328,2.3433696948727505,21.06102845909418,20,A,217,9345.41015625,217
